id,orderId,userId,type,description,reportedAt,attachments,severity,status,resolvedAt,resolvedBy,issueRef
ae5d0bf9-3d07-46e5-8631-fd966e520ecd,COM-42395,USR-6219,NourritureEndommagée,"Tout était trempé, expérience catastrophique.",2/5/2025 14:19,image_8455.jpg,élevé,Escaladé,,,REF-297278
94d72616-96dc-47ca-ba07-aaad47a19019,COM-63193,USR-4078,ArticleManquant,"Je n'ai pas reçu sushi, besoin d'un remboursement.",2/15/2025 14:19,,faible,Ouvert,,,REF-233919
5d4d61f8-cec8-47d1-85ee-8b05c7e95464,COM-61929,USR-4785,CommandeErronée,"Erreur sur ma commande : sandwich au lieu de pizza, très agaçant.",12/4/2024 14:19,image_9736.jpg,élevé,Escaladé,,,REF-306801
537e8922-7552-48d3-aa23-d62cf37a4e62,COM-96988,USR-8884,ArticleManquant,"Je n'ai pas reçu burger, besoin d'un remboursement.",8/20/2024 14:19,,faible,Ouvert,,,REF-694745
e4ac63e6-3826-4194-ae28-17e79aac0a68,COM-70966,USR-9248,CommandeErronée,"Livré sushi, mais je voulais salade, c'est inacceptable.",12/1/2024 14:19,image_4151.jpg,moyen,Résolu,12/3/2024 12:19,MOD-12,REF-367263
36be411b-ddb6-4fb5-b216-da919693ae79,COM-95022,USR-5916,NourritureEndommagée,"pâtes était trempé, qualité inacceptable.",8/23/2024 14:19,,élevé,Ouvert,,,REF-768121
50f59b72-e045-47f3-b847-331fef941eb7,COM-70189,USR-3706,CommandeErronée,"Commande erronée livrée, j'ai eu salade et non frites.",2/2/2025 14:19,,faible,Ouvert,,,REF-413220
289e154e-e1f1-4de1-b930-64248454bf73,COM-37944,USR-4986,NourritureEndommagée,"La nourriture était froid, totalement immangeable.",9/28/2024 14:19,,élevé,Escaladé,,,REF-508544
069210a1-9ede-43af-a25c-311267dd52f3,COM-90545,USR-8507,CommandeErronée,"J'ai commandé burger, mais j'ai reçu pizza.",4/19/2025 14:19,,faible,Ouvert,,,REF-767931
76dad821-bdb5-43a9-890b-4771bd2c77c2,COM-71018,USR-5873,LivraisonRetard,"J'ai attendu 90 minutes pour ma commande, très frustrant.",11/16/2024 14:19,,moyen,Escaladé,,,REF-819630
2252b073-3925-4bd9-baf6-27464c32f549,COM-70685,USR-8171,CommandeErronée,"Erreur sur ma commande : pizza au lieu de burger, très agaçant.",1/12/2025 14:19,,moyen,Résolu,1/14/2025 13:19,MOD-9,REF-453202
d3678c61-d005-4c94-9f72-16ca9083a7e1,COM-29994,USR-9894,NourritureEndommagée,"La nourriture était gâté, totalement immangeable.",12/6/2024 14:19,image_3885.jpg,élevé,Escaladé,,,REF-429069
a6bcb2c4-8421-43f8-89d4-857e73888fe6,COM-37957,USR-6795,CommandeErronée,"Mauvais article livré, frites à la place de burger.",6/25/2025 14:19,image_9230.jpg,faible,Escaladé,,,REF-592945
2e0d4b2f-f1c6-46e1-8c5b-75eabe1e2405,COM-62116,USR-6977,ArticleManquant,"Commande incomplète, burger non livré.",11/15/2024 14:19,,faible,Résolu,11/16/2024 12:19,MOD-9,REF-451223
d2408dbe-6461-49c3-afa2-720127f9607c,COM-20438,USR-5189,NourritureEndommagée,"sushi est arrivé gâté, besoin d'un remplacement.",5/16/2025 14:19,image_5358.jpg,élevé,Escaladé,,,REF-191581
b3d11abb-0e2c-483e-8c0d-973535d917ab,COM-50632,USR-8332,ArticleManquant,"Il manque burger dans ma commande, très décevant.",5/29/2025 14:19,,moyen,Escaladé,,,REF-873043
ac5220f2-9bdc-4e1d-ba62-b86185057c7a,COM-36406,USR-1725,NourritureEndommagée,"La commande était trempé, très déçu.",5/9/2025 14:19,,faible,Résolu,5/10/2025 3:19,MOD-10,REF-251482
